metric,baseline,baseline_value,reconciled_value,detail
requests_proposed,A naive rule,10,0,naive R001|R005|R009|R012|R013|R018|R019|R024|R025|R026; reconciled 
unsafe_proposals,A naive rule,10,0,"R001 case completed, followup_allowed=0, receipt evidence (received_at populated or status received); R005 case cancelled, followup_allowed=0; R009 followup_allowed=0; R012 followup_allowed=0; R013 case cancelled, followup_allowed=0; R018 followup_allowed=0, receipt evidence (received_at populated or status received); R019 case cancelled, followup_allowed=0; R024 followup_allowed=0; R025 followup_allowed=0; R026 followup_allowed=0"
outgoing_messages,A naive rule,10,0,naive: one per request; reconciled: one per case
distinct_cases_contacted,A naive rule,8,0,naive messages the same case more than once: C009|C024
routed_to_review,A naive rule,0,0,reconciled ; naive has no review path (blank-time rows fail its filter)
coordinator_decisions,B manual review,12,0,manual inspects every pending missing-info row R001|R005|R009|R012|R013|R016|R018|R019|R022|R024|R025|R026; reconciled: approve 0 actions + resolve 0 review rows; not converted to minutes
